brand,primaryCategories,reviews.numHelpful,reviews.rating,reviews.text
2,Health & Beauty,,4,"Amazon's batteries are great. I've had no problems with them leaking or corroding. They last as long as any other AA battery I've used too.The AmazonBasics brand has been great for so many different things, and I definitely recommend these batteries."
2,Health & Beauty,,4,always need batteries
0,Electronics,0.0,3,"It's pretty good for what it is designed to do: a portable bluetooth speaker and Alexa-enabled speaker. Not voice controlled so you have to touch the speaker button for Alexa. Nice thing once connected to your Alexa account is that you can play music, whatever, without having your phone nearby though Alexa only works when connected to WiFi. If no Wifi, then connect via bluetooth to play music from any apps. Battery life is also pretty good."
0,Electronics,0.0,3,I love it it comes with a 12 month kids subscription
0,Electronics,0.0,3,"For the price, it is quite a nice tablet. I must admit there's little I've done with it for now, the goal being to get it to the kids to control their Lego Boost kit with it."
0,Electronics,0.0,3,This tablet is good for kids but the battery life is not very long.
0,Electronics,0.0,3,This was a great Christmas gift for my kid. This allows them to store their favorite books and play some educational games. Its nice to also have an optional MicroSD card for extra storage.
2,Health & Beauty,,4,"Great deal, thanks"
0,Electronics,0.0,3,Nice for the price had to put Google play store on myself but still a nice tablet
2,Health & Beauty,,4,These are a good buy.
0,Electronics,0.0,2,"My father upgraded from the original Kindle Fire to this model, and he's very happy with it. It doesn't compete with more mainstream tablets, but he likes the Kindle's system for downloading library books."
2,Health & Beauty,,3,"Batteries came charged, I guess that's a good thing"
0,Electronics,0.0,3,I decided to buy this instead of a traditional kindle and I do not regret my decision at all!The only con (for those evaluating this as a tablet) is that Amazon has their own App Store. Many apps from GooglePlay/AppStore are simply not available.
0,"Toys & Games,Electronics",0.0,3,Seems to be great but just need a little more time to play with it. The main user is nearly four years old. Happy with it and gets excited when using it.
0,Electronics,0.0,3,Nice tablet at a very affordable price.............
2,Health & Beauty,,4,Fast delivery. Will order again
2,Health & Beauty,,1,These leaked battery acid twice over a two week person in LED lights which don't pull a lot of power. I will go for a brand name next time...I can't have my students getting burns from leaky batteries.
0,Electronics,0.0,3,"Really great love tge tablet really easy for my daughter, learning! I do wish it had more storage, and more items for kids. But we do love the tablet."
0,Electronics,0.0,3,"If you already have the Amazon Echo system then the Tap is a nice addition. I use it primarily as an outdoor speaker for my patio when the weather is nice. There are Bluetooth speakers on the market with better sound quality but it does an adequate job as a speaker. The real advantage is being able to interface with the Echo system as well as item to music, news,etc. I have not used it off it's charger long enough to comment on battery life but so far a six hour session outside was no problem."
2,Health & Beauty,,4,"Best Product Value , Amazon know what they doing (:Good price for quantity , for sure will buy more ."
0,"Toys & Games,Electronics",0.0,3,"This is a great little phone. It feels like a true moto phone. I like the pure experience of the software. While it's not on par with the $600+ phones... Dollar for dollar, it is well worth the cost. Definitely a good buy."
2,Health & Beauty,,3,Excellent deal for 36 batteries. I have found the batteries do not last quite as long as Duracell or other brands. Not as noticeable in remotes or such but flashlights will drain them quickly. They are still an excellent deal though.
0,Electronics,0.0,3,Does all basic functions of a tablet. Hardcore users may want an iPad.
0,Electronics,0.0,3,Kids love it. Easy for them to use. Only issue is there is a ton of Ads that pop up.
0,Electronics,0.0,3,"Purchased this for our 8yo--she loves it! Had to return the 1st one after just.a few days as the screen would go black after typing in password--periodically. However, Best Buy traded it out for a new one!"
0,Electronics,2.0,0,"The last 2 models of Kindle HDX 8 have been terrible. We have purchased 2 of each model of Kindle and up until the last 2 models, they have been great. Last years had to be replaced 7 or 8 times and for the same problem. The slot for the SD card is defective. I gave up and bought the newest model. It shuts completely down if you try to plug it in to external speakers and sometimes it shuts down for no reason. It's going back after the first of the year. This is going to be my last year for Kindles unless they make them the same quality as before. Phooey!"
2,Health & Beauty,,4,Good Batteries
