Label,Accuracy,Precision,Recall
20,0.5825,0.49327938039922714,0.4547393932054481
30,0.6255,0.49840674275750646,0.5126494167953409
40,0.6295,0.4944616019098215,0.5114878983029759
50,0.6755,0.5209673016950387,0.5343832615291744
60,0.6755,0.524156182819812,0.5365450883537158
70,0.6705,0.5488690867933976,0.5633059564530021
80,0.6845,0.5199122028180152,0.5336918256888912
90,0.675,0.5109976412363604,0.5320027243954859
100,0.692,0.5414267921446765,0.549197541984286
110,0.694,0.5343367159691103,0.5671705756707812
120,0.6845,0.5390826179469641,0.5645624179970228
130,0.6995,0.5457113740716675,0.5741578952384374
140,0.683,0.5186157330646328,0.5588024476234691
150,0.6695,0.5429871439305181,0.5728115552398949
