Labels,accuracy,precision,recall,loss
10,0.016516516516516516,0.8325678071223447,0.015314865758215512,4.391641616821289
20,0.01701701701701702,0.8243601631257027,0.01548440065681445,4.382552623748779
30,0.02052052052052052,0.8066091346531494,0.019835583136075745,4.385050296783447
40,0.018018018018018018,0.7171738065667287,0.017464250764743377,4.351834297180176
50,0.016516516516516516,0.7750766930483816,0.016720898149469577,4.370549201965332
60,0.027527527527527528,0.7698654349148844,0.027756485938304123,4.352087497711182
70,0.03453453453453453,0.83796614178667,0.03460729746444032,4.341490745544434
80,0.04104104104104104,0.8527338251657404,0.04111118318910527,4.301314830780029
90,0.053553553553553554,0.8471927717698999,0.05319554903970488,4.263378620147705
100,0.07757757757757758,0.846618855182356,0.07599947671376243,4.2419891357421875
110,0.09109109109109109,0.8361855762250388,0.08899819756962614,4.186398506164551
120,0.14364364364364365,0.8024023359514205,0.1413655605471061,4.046372890472412
130,0.1871871871871872,0.7427624507652736,0.184226601898894,3.9102516174316406
140,0.19369369369369369,0.7257993599035214,0.19252860102085653,3.7926583290100098
150,0.23773773773773774,0.7064185478092204,0.23648046107176934,3.6187996864318848
