accuracy,recall,precision,f1,Label
0.61,0.63559322,0.713720743,0.6177159,10
0.71,0.711111111,0.769722222,0.635119048,20
0.75,0.774425287,0.79683908,0.711617406,30
0.79,0.790178571,0.88082483,0.759183673,40
0.83,0.817528736,0.870977011,0.739614122,50
0.723223223,0.75033378,0.710187693,0.65369973,60
0.74024024,0.745562381,0.769502657,0.717647491,70
0.73973974,0.750406935,0.752885137,0.685105576,80
0.762762763,0.767125666,0.788446394,0.728907608,90
0.766266266,0.779789397,0.746563847,0.707997689,100
0.769269269,0.774321713,0.768227196,0.726592562,110
0.758258258,0.772087059,0.750027496,0.70169672,120
0.768768769,0.790419959,0.72848523,0.682401482,130
0.768268268,0.781740355,0.770600863,0.706597506,140
0.771771772,0.792688068,0.735844812,0.686884981,150
