Labels,accuracy,precision,recall,loss
10,0.2,0.6005414308329063,0.19219391955743204,1.7907187938690186
20,0.293,0.6283904445207602,0.19459616484358844,1.765201210975647
30,0.249,0.4889033645991952,0.23518628219942786,1.7232812643051147
40,0.371,0.5669451482463773,0.28793181134293305,1.5960488319396973
50,0.414,0.848029283712934,0.30274726993961015,1.5064902305603027
60,0.6,0.8534581694560996,0.5002297123305921,1.2579467296600342
70,0.73,0.8958697700941408,0.6089611480543792,0.9633703231811523
80,0.782,0.873325703430193,0.6862250434412287,0.6846617460250854
90,0.91,0.9135839994234947,0.8853141369583937,0.38080504536628723
100,0.916,0.9114019463182351,0.9015601378772663,0.30616191029548645
110,0.914,0.9116244963932431,0.8953659427990514,0.3597727119922638
120,0.916,0.9116813143809074,0.9003419645966907,0.40556585788726807
130,0.915,0.9032124491282616,0.8935854885373103,0.40812259912490845
140,0.919,0.9071141316538008,0.8934940243274214,0.3921007812023163
150,0.92,0.9048044385657086,0.8956458653643309,0.41145554184913635
