accuracy,recall,precision,f1,label
0.882,0.803430092,0.904643835,0.77302285,10
0.941,0.938249525,0.700810066,0.693699429,20
0.932,0.893550877,0.924390877,0.901288848,30
0.942,0.917923575,0.926744397,0.921726077,40
0.889,0.809554426,0.912756415,0.773389146,50
0.911,0.871084778,0.791472558,0.7274201,60
0.928,0.90231482,0.792641928,0.767489362,70
0.949,0.925310679,0.940645231,0.931719179,80
0.94,0.912890682,0.933562863,0.920880732,90
0.948,0.922464701,0.940058739,0.92888616,100
0.951,0.930592033,0.94092514,0.934526183,110
0.953,0.943471488,0.809402511,0.804086098,120
0.953,0.93622502,0.936408835,0.935820568,130
0.947,0.928991209,0.93612277,0.93171355,140
0.957,0.937927602,0.946816426,0.941988996,150
