Label,Accuracy,Precision,Recall
20,0.767,0.7399498807498016,0.8152249630747704
30,0.867,0.8367900597568186,0.883310793521507
40,0.901,0.8914504125879258,0.8765666328072518
50,0.901,0.8832231404957357,0.8865365900249621
60,0.908,0.8899410970575011,0.8931887541761468
70,0.904,0.884968385917548,0.8933860813212036
80,0.915,0.8999726773640028,0.9029744716619023
90,0.912,0.8985215337444981,0.9013860585748565
100,0.911,0.8931615384067014,0.8970778516944744
110,0.914,0.8963104894862792,0.9017467807109837
120,0.913,0.8966753236488961,0.9039121897830288
130,0.909,0.8905908870554654,0.8991170580041236
140,0.913,0.895339257578363,0.9001942988785094
150,0.91,0.8940157218880036,0.8977984959817583
