Labels,accuracy,precision,recall,loss
10,0.04369538077403246,0.6701119724375539,0.3468063872255489,1.1110568046569824
20,0.6179775280898876,0.6098998330550919,0.3336766467065868,0.9856002926826477
30,0.8526841448189763,0.7090875616144879,0.41666866267465075,0.7941420674324036
40,0.8813982521847691,0.9357864357864359,0.43683433133732535,0.5730289816856384
50,0.8913857677902621,0.8962901744719926,0.48417964071856284,0.3810618221759796
60,0.8888888888888888,0.8790776645853873,0.4896846307385229,0.38219815492630005
70,0.9013732833957553,0.8999404153898536,0.5510159680638723,0.40060779452323914
80,0.9076154806491885,0.6600442187513159,0.6206906187624751,0.44020742177963257
90,0.9238451935081149,0.9138811328280814,0.6401836327345309,0.40595752000808716
100,0.8664169787765293,0.6377527058283455,0.6107265469061877,0.6765231490135193
110,0.9138576779026217,0.6739580680757151,0.5971736526946109,0.7469547986984253
120,0.9263420724094882,0.6833729057265426,0.6238403193612775,0.5902409553527832
130,0.9213483146067416,0.6615446662633595,0.6240119760479041,0.6265929937362671
140,0.9363295880149812,0.9346568898727172,0.6495089820359282,0.7664490342140198
150,0.9325842696629213,0.9234670717228858,0.6523473053892216,0.8866618871688843
