Labels,accuracy,precision,recall
10,0.76,0.8050294380665749,0.7475617646302952
20,0.854,0.4835158867579542,0.922915383879148
30,0.782,0.7750036815019327,0.7964802998876387
40,0.83,0.824632694049245,0.8309027070387368
50,0.926,0.9339654318883627,0.8971297549984844
60,0.898,0.9144069573535764,0.855863521351475
70,0.908,0.9214172136167494,0.8803669109648314
80,0.926,0.9351304973900669,0.8965054414255188
90,0.942,0.9491324388282444,0.9115194318537211
100,0.932,0.9213389133084854,0.9053360032111634
110,0.94,0.9509313799766655,0.9100271388617881
120,0.946,0.9543197720069556,0.9139378144877169
130,0.948,0.9512079914367386,0.9175225095823308
140,0.942,0.9446389961173689,0.9143507866603766
150,0.946,0.9580924344925733,0.8280118270662005
