Labels,accuracy,precision,recall,loss
10,0.226,0.871,0.16666666666666666,1.8221079111099243
20,0.266,0.7573612921421113,0.2310188336737009,1.833188533782959
30,0.16,0.7171558350803634,0.18937324738701336,1.837454080581665
40,0.27,0.7863344975013598,0.2772780683165838,1.7490154504776
50,0.394,0.7459058614891588,0.36566926831367513,1.5610233545303345
60,0.702,0.8156186036186036,0.5819010764156515,1.0552661418914795
70,0.802,0.8627145048430812,0.6672132661915512,0.6929086446762085
80,0.832,0.8614440654261301,0.7013953613775149,0.503665030002594
90,0.862,0.8494783597936916,0.826003519081917,0.5016810894012451
100,0.81,0.7749336981169278,0.6952800965670982,0.8131368160247803
110,0.858,0.824315091668845,0.7351366176627666,0.7672250866889954
120,0.908,0.9342966507328677,0.7795776605432893,0.5776922702789307
130,0.866,0.9059009842666677,0.7639838938099226,0.8446390628814697
140,0.916,0.9114539814539815,0.8608425557477157,0.6716887950897217
150,0.896,0.9294442004586932,0.8311847375294219,0.832805871963501
