Label,Accuracy,Precision,Recall,F1
10,0.438,0.7716324534573826,0.33566387354628335,0.2807918396927198
20,0.496,0.6727777100271721,0.40130616983702866,0.341532622599388
30,0.482,0.47536426369443446,0.4584085582093999,0.421872529668699
40,0.59,0.5681027439587855,0.531844132095047,0.5208317768463799
50,0.622,0.574855468848954,0.5637591148586466,0.5386088126697938
60,0.672,0.6251118205221549,0.6573975848279386,0.6120912884428603
70,0.678,0.6220247286535504,0.6390159295010406,0.6142977996571753
80,0.722,0.6685187224416705,0.6903241361041551,0.6598591187644859
90,0.728,0.6726934670872745,0.702775781892136,0.6685231838408926
100,0.736,0.669336659450996,0.7062646709774584,0.6621643623453995
110,0.738,0.6718463737323205,0.7134391156999417,0.6747354850121797
120,0.784,0.7146855821554617,0.748831961620159,0.7182945412370301
130,0.768,0.7043604943468145,0.7419030986176743,0.7078209443643572
140,0.768,0.6867990467088724,0.7081557628726616,0.6883945855037265
150,0.792,0.7305547717662564,0.7935466922710153,0.731136797405369
