Label,Accuracy,Precision,Recall
20,0.68,0.610893473085833,0.7749618472929775
30,0.812,0.7010536817190949,0.8571410823934716
40,0.868,0.8344462000878315,0.8790892420111266
50,0.874,0.8408875911997681,0.8972170574079317
60,0.912,0.9036277220535215,0.9290885585003233
70,0.838,0.8057897512620505,0.8663862275299374
80,0.89,0.8893924206392086,0.9048848556869947
90,0.922,0.9154487172166276,0.9299560746339076
100,0.938,0.8914700799969001,0.945006834952487
110,0.914,0.8720313662651006,0.899270807159933
120,0.92,0.8767949480229708,0.9331146290916407
130,0.938,0.8921984952643225,0.9465348523856499
140,0.93,0.8895814479253099,0.9362239273317271
150,0.936,0.8926905331959739,0.9451466757226297
