Label Count,Accuracy,Precision,Recall,F1 Score
10,0.67,0.69381245100419,0.5184646210680506,0.48019884803918633
20,0.742,0.6689099393770994,0.6858404308374773,0.5249490299812876
30,0.75,0.669521236254347,0.6760021747362173,0.5599077857261467
40,0.77,0.6912011573285963,0.6707237556244648,0.5656183846531394
50,0.798,0.7119090973659915,0.698470346948345,0.6113007330571169
60,0.816,0.6907122455507055,0.7028771090586392,0.6016416246789937
70,0.82,0.7394668324194733,0.6832344178017937,0.5867380186381199
80,0.806,0.7386717572775876,0.700706917196279,0.6100459094651473
90,0.826,0.7548957736832549,0.7372184678822052,0.6663360230674717
100,0.86,0.7420035366605641,0.7647400344798586,0.6546093109178307
110,0.87,0.772440292488408,0.783173678781705,0.694870068050838
120,0.852,0.7682570762029656,0.7516692187835805,0.6866186621190535
130,0.868,0.7395528894891537,0.7955419838911016,0.7571358534410316
140,0.862,0.7398941432377963,0.7993312592319685,0.6895726048778332
150,0.88,0.7845060624130392,0.8112676706986456,0.7712720035826109
