Labels,accuracy,precision,recall,loss
10,0.046,0.883410983635199,0.021904761904761903,3.823535680770874
20,0.058,0.8132282300861616,0.021825396825396824,3.774064064025879
30,0.036,0.6936851019920276,0.0775239093058242,4.071431636810303
40,0.106,0.8278746090778133,0.05762782331931268,3.8988378047943115
50,0.188,0.8953297881869309,0.07917415031776734,3.71848726272583
60,0.264,0.8724391237791446,0.11286796536796537,3.6497714519500732
70,0.26,0.9043956861790928,0.11924603174603174,3.3306312561035156
80,0.358,0.9036682698350973,0.16210738335738334,3.0052640438079834
90,0.412,0.8912022157485514,0.23953231292517008,2.634114980697632
100,0.468,0.8725115199253233,0.3025687876776727,2.1823880672454834
110,0.676,0.8564019344042814,0.4422472715373412,1.718306303024292
120,0.772,0.8761441340588916,0.4936678360676619,1.284902811050415
130,0.792,0.8539850018022829,0.5505822179820438,1.045261025428772
140,0.806,0.8832665535081635,0.5588795328429474,0.9416636824607849
150,0.808,0.8496335554843717,0.5753574654794167,0.8950120806694031
