Label,Accuracy,Precision,Recall
20,0.378,0.14925270981376987,0.7768022089312348
30,0.504,0.1823037086761879,0.7265168241165223
40,0.556,0.21038462768878763,0.7608979596408294
50,0.554,0.25709518503257417,0.7719353379325726
60,0.614,0.3241829370276624,0.8086429212751031
70,0.61,0.36160828001684975,0.7969622389743726
80,0.644,0.37751766967553047,0.7384006530582199
90,0.66,0.3997498309160913,0.7470157126066935
100,0.692,0.4589756618000002,0.7683851477265421
110,0.708,0.4540871020145648,0.8039818225573914
120,0.702,0.4261541949640693,0.7930655240072766
130,0.732,0.4814187732448865,0.76805940147206
140,0.732,0.4728201784115356,0.7451837162482721
150,0.744,0.49302124274508335,0.7355161258919671
