Label,Accuracy,Precision,Recall,F1
10,0.031031031031031032,0.8752392032434055,0.03167292022843912,0.008164724539994266
20,0.05005005005005005,0.8053955048465319,0.048592035905421244,0.018335654186491385
30,0.05855855855855856,0.7119518529111325,0.05756901993699905,0.028906506200712747
40,0.06506506506506507,0.6903533130591809,0.06344841492341008,0.04497261743238096
50,0.08108108108108109,0.6269155253881815,0.07958787798295762,0.04888931364824031
60,0.0920920920920921,0.5640577934626889,0.09077800844760665,0.06198887525903945
70,0.1001001001001001,0.5308562420263641,0.09990345254773875,0.07046838080933265
80,0.11611611611611612,0.4767130642560627,0.11463499171250771,0.08924028102152909
90,0.13113113113113112,0.44501271715586743,0.12964186463921942,0.10388684948955851
100,0.13013013013013014,0.4100788325444136,0.12797703048611897,0.10801154499949997
110,0.13413413413413414,0.417989038146715,0.1333469459816697,0.11458746412722523
120,0.14964964964964966,0.3442658936441709,0.14864545234965504,0.1314605353632329
130,0.15715715715715717,0.3699669781529167,0.156429992537255,0.1422334684095811
140,0.16966966966966968,0.35707883010679226,0.1679395679801748,0.1510757611837537
150,0.1856856856856857,0.3279614331007467,0.18543156409003478,0.16440945367424895
