Label,accuracy,precision,recall,f1
10,0.28,0.721257515,0.205466556,0.135890446
20,0.301,0.368759117,0.199081247,0.161907561
30,0.265,0.216314543,0.206494504,0.183720848
40,0.267,0.216478698,0.212832617,0.198825561
50,0.266,0.237122306,0.221337637,0.20877308
60,0.276,0.236176312,0.23135239,0.228318191
70,0.289,0.251255545,0.24186268,0.236208752
80,0.301,0.259075788,0.245939756,0.242378837
90,0.269,0.237893018,0.238657874,0.236454782
100,0.302,0.290530691,0.259773946,0.253629523
110,0.294,0.267200879,0.267252633,0.264970495
120,0.334,0.318075935,0.291375825,0.292170127
130,0.327,0.29728016,0.289724717,0.285583346
140,0.345,0.310865786,0.30407396,0.302076884
150,0.34,0.311895476,0.29833531,0.29734591
